EXTERNAL_REFERENCE;SOURCE_ID;USER_ID;PAYMENT_METHOD_TYPE;PAYMENT_METHOD;SITE;TRANSACTION_TYPE;TRANSACTION_AMOUNT;TRANSACTION_CURRENCY;SELLER_AMOUNT;TRANSACTION_DATE;FEE_AMOUNT;SETTLEMENT_NET_AMOUNT;SETTLEMENT_CURRENCY;SETTLEMENT_DATE;REAL_AMOUNT;COUPON_AMOUNT;METADATA;MKP_FEE_AMOUNT;FINANCING_FEE_AMOUNT;SHIPPING_FEE_AMOUNT;TAXES_AMOUNT;INSTALLMENTS;TAX_DETAIL;TAX_AMOUNT_TELCO;POS_ID;STORE_ID;STORE_NAME;EXTERNAL_POS_ID;POS_NAME;EXTERNAL_STORE_ID;FEE_PREVISION;ORDER_ID;SHIPPING_ID;SHIPMENT_MODE;PACK_ID;TAXES_DISAGGREGATED;POI_ID
;175609292015;21648255;available_money;available_money;MLA;SETTLEMENT;-15000.00;ARS;0.00;2026-08-31T17:25:20.000-03:00;0.00;-15000.00;ARS;2026-08-31T17:25:20.000-03:00;-15000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;1749146722808;21648255;;;MLA;SETTLEMENT;61.75;ARS;0.00;2026-08-31T00:22:53.000-03:00;0.00;61.75;ARS;2026-08-31T00:22:53.000-03:00;61.75;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;175229529429;21648255;bank_transfer;cvu;MLA;SETTLEMENT;64824.10;ARS;0.00;2026-08-29T07:26:19.000-03:00;0.00;64824.10;ARS;2026-08-29T07:26:19.000-03:00;64824.10;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;175082940205;21648255;available_money;available_money;MLA;SETTLEMENT;40000.00;ARS;0.00;2026-08-28T11:24:44.000-03:00;0.00;40000.00;ARS;2026-08-28T11:24:44.000-03:00;40000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
"INSTORE-c561feb5-2a4a-4188-81f7-5e8087ec90cd";174615009236;21648255;available_money;available_money;MLA;SETTLEMENT;-3500.00;ARS;0.00;2026-08-19T13:11:33.000-03:00;0.00;-3500.00;ARS;2026-08-19T13:11:33.000-03:00;-3500.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;85773201;;;;CAJA ALVEAR;;0.00;43738950487;;;;"[]";N950NCCC05898364
;173287225951;21648255;credit_card;visa;MLA;SETTLEMENT;-35400.00;ARS;0.00;2026-08-16T21:50:09.000-03:00;-2474.46;-37874.46;ARS;2026-08-16T21:50:11.000-03:00;-37874.46;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;174040351142;21648255;bank_transfer;cvu;MLA;SETTLEMENT;30000.00;ARS;0.00;2026-08-15T17:55:02.000-03:00;0.00;30000.00;ARS;2026-08-15T17:55:02.000-03:00;30000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;171874929641;21648255;available_money;available_money;MLA;SETTLEMENT;-20000.00;ARS;0.00;2026-08-08T17:14:27.000-03:00;0.00;-20000.00;ARS;2026-08-08T17:14:27.000-03:00;-20000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;171874791783;21648255;bank_transfer;cvu;MLA;SETTLEMENT;20000.00;ARS;0.00;2026-08-08T17:14:02.000-03:00;0.00;20000.00;ARS;2026-08-08T17:14:02.000-03:00;20000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
"QR_AU";172754194610;21648255;available_money;available_money;MLA;SETTLEMENT;-24000.00;ARS;0.00;2026-08-08T14:19:41.000-03:00;0.00;-24000.00;ARS;2026-08-08T14:19:42.000-03:00;-24000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;117057748;;;;QR_AU;;0.00;43441308796;;;;"[]";
;172438791998;21648255;available_money;available_money;MLA;SETTLEMENT;-15720.00;ARS;0.00;2026-08-06T19:25:55.000-03:00;0.00;-15720.00;ARS;2026-08-06T19:25:55.000-03:00;-15720.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;171929039464;21648255;available_money;available_money;MLA;SETTLEMENT;-25500.00;ARS;0.00;2026-08-03T19:57:23.000-03:00;0.00;-25500.00;ARS;2026-08-03T19:57:24.000-03:00;-25500.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
;170701698765;21648255;available_money;available_money;MLA;SETTLEMENT;-60000.00;ARS;0.00;2026-08-01T16:52:14.000-03:00;0.00;-60000.00;ARS;2026-08-01T16:52:14.000-03:00;-60000.00;0.00;"[{}]";0.00;0.00;0.00;0.00;1;;0.00;;;;;;;0.00;;;;;"[]";
