FECHA;DESCRIPCIÓN;NRO_CUPÓN;PESOS;DÓLARES
31-Jul-26;SU PAGO EN PESOS;;-353164,22;
20-Feb-26;MERPAGO*DXELECTRONICA C.06/06;600400;10614,20;
21-Mar-26;MERPAGO*CARESTINO C.05/06;682525;22666,50;
17-Feb-26;SUPERM LA ANONIMA 15 C.06/12;193122;17577,50;
07-May-26;LA MADRILEÑA SA C.04/06;003972;34000,00;
21-May-26;EQUUS C.03/06;002492;49900,00;
22-May-26;CHEEKY C.03/03;189994;15300,00;
01-Jul-26;MERPAGO*TIENDAMIMO C.02/06;100498;34950,00;
23-Jul-26;SUPERM LA ANONIMA 15;212073;79124,67;
27-Jul-26;PANIFICADORA ESQUEL;106212;6500,00;
14-Ago-26;MERPAGO*ELNUEVOPOLLO;598559;38900,00;
18-Ago-26;FARMACIAS PATAGONICAS;894982;18804,99;
20-Ago-26;MOVISTAR HOGAR;000001;25499,88;
20-Ago-26;IMPUESTO DE SELLOS;;6411,30;
20-Ago-26;INTERESES FINANCIACION;;410,21;
20-Ago-26;IVA RG 4240 21%;;3137,41;
